name	address	postal_code	latitude	longitude
Caribou Coffee	100 5th St	55402	44.978348	-93.268623
Caribou Coffee	100 6th St	55362	45.301521	-93.797798
Caribou Coffee	1004 Gateway Dr	55318	44.8039	-93.5773
Caribou Coffee	101 1st Ave	55902	44.022631	-92.464684
Caribou Coffee	10160 6th Ave	55441	44.984517	-93.409201
Caribou Coffee	10400 Baltimore St	55449	45.1599	-93.2328
Caribou Coffee	1055 Grand Ave	55105	44.940315	-93.144714
Caribou Coffee	1080 Highway 96	55127	45.079	-93.0557
Caribou Coffee	10997 Red Circle Dr	55343	44.894683	-93.418774
Caribou Coffee	1100 County Road 42	55337	44.737961	-93.258881
Caribou Coffee	11008 61st St	55301	45.238468	-93.663161
Caribou Coffee	1116 Nicollet Ave	55403	44.972806	-93.275911
Caribou Coffee	11210 Wayzata Blvd	55305	44.9733	-93.4214
Caribou Coffee	1127 Larpenteur Ave	55113	44.992097	-93.147689
Caribou Coffee	113 Village Center Dr	55127	45.080064	-93.114549
Caribou Coffee	11400 Highway 7	55305	44.933601	-93.424553
Caribou Coffee	11468 Jefferson Ct	55316	45.159803	-93.393445
Caribou Coffee	1147 2nd St	55902	44.021935	-92.480934
Caribou Coffee	1151 Wayzata Blvd	55391	44.975838	-93.502034
Caribou Coffee	11611 Leona Rd	55344	44.859161	-93.424973
Caribou Coffee	11627 Fountains Dr	55369	45.0931	-93.4272
Caribou Coffee	1193 Robert St	55118	44.909887	-93.080821
Caribou Coffee	12401 Wayzata Blvd	55305	44.968105	-93.437523
Caribou Coffee	12417 Ulysses St	55434	45.1962	-93.2368
Caribou Coffee	12601 Nicollet Ave	55337	44.773449	-93.27655
Caribou Coffee	12850 Bass Lake Rd	55369	45.064898	-93.441479
Caribou Coffee	12880 Elm Creek Blvd	55369	45.096611	-93.444633
Caribou Coffee	1299 Promenade Pl	55121	44.836012	-93.156523
Caribou Coffee	13081 Ridgedale Dr	55305	44.968807	-93.445885
Caribou Coffee	1315 6th St	55901	44.028919	-92.481461
Caribou Coffee	13250 Technology Dr	55344	44.861579	-93.441266
Caribou Coffee	1361 Heather St	55379	44.7822	-93.5073
Caribou Coffee	13635 Northdale Blvd	55374	45.201923	-93.554314
Caribou Coffee	1380 Duckwood Dr	55123	44.827091	-93.166255
Caribou Coffee	1400 County Road 101	55447	44.994082	-93.501748
Caribou Coffee	14050 Saint Francis Blvd	55303	45.225911	-93.397877
Caribou Coffee	142 Pioneer Trl	55318	44.8287	-93.601
Caribou Coffee	14400 Excelsior Blvd	55345	44.906345	-93.463722
Caribou Coffee	14444 Excelsior Blvd	55345	44.905594	-93.463444
Caribou Coffee	1450 Lake St	55408	44.94883	-93.300133
Caribou Coffee	14638 Cedar Ave	55124	44.737239	-93.217521
Caribou Coffee	15175 Edgewood Dr	56401	46.3713	-94.245
Caribou Coffee	1523 7th St	55362	45.2956	-93.783
Caribou Coffee	1595 2nd Ave	55008	45.573969	-93.213065
Caribou Coffee	1595 Highway 36	55113	45.010496	-93.166945
Caribou Coffee	1600 Miller Trunk Hwy	55811	46.806819	-92.160439
Caribou Coffee	1600 Woodland Ave	55803	46.821301	-92.07222
Caribou Coffee	1601 County Road C	55113	45.023018	-93.17012
Caribou Coffee	1601 Highway 7	55305	44.9332	-93.4199
Caribou Coffee	1650 Park Place Blvd	55416	44.966309	-93.350021
Caribou Coffee	16506 78th St	55346	44.862809	-93.487175
Caribou Coffee	1720 Rice St	55113	44.993005	-93.105684
Caribou Coffee	1730 New Brighton Blvd	55413	45.00489	-93.227628
Caribou Coffee	17450 Kenwood Trl	55044	44.696088	-93.286033
Caribou Coffee	17605 Glasgow Ave	55044	44.6942	-93.2136
Caribou Coffee	1808 Plymouth Rd	55305	44.966575	-93.44276
Caribou Coffee	18157 Carson Ct	55330	45.3016	-93.5555
Caribou Coffee	1817 Randolph Ave	55105	44.927307	-93.176933
Caribou Coffee	1823 Market Blvd	55033	44.737105	-92.892724
Caribou Coffee	1830 Market Dr	55082	45.038031	-92.841204
Caribou Coffee	18444 Kenrick Ave	55044	44.6823	-93.2895
Caribou Coffee	1850 Adams St	56001	44.170326	-93.953787
Caribou Coffee	1901 Madison Ave	56001	44.1666	-93.9483
Caribou Coffee	19260 Freeport St	55330	45.319961	-93.563629
Caribou Coffee	194 Garden	55425	44.856	-93.2403
Caribou Coffee	19425 Evans St	55330	45.324052	-93.561137
Caribou Coffee	1959 Suburban Ave	55119	44.95042	-93.017426
Caribou Coffee	1966 Bunker Lake Blvd	55304	45.219435	-93.315383
Caribou Coffee	200 6th St	55402	44.976733	-93.268429
Caribou Coffee	2001 Cliff Rd	55337	44.790351	-93.247033
Caribou Coffee	2020 Pokegama Ave	55744	47.21083	-93.528611
Caribou Coffee	2022 Northdale Blvd	55433	45.180403	-93.317505
Caribou Coffee	2073 Wayzata Blvd	55356	44.988275	-93.577423
